A̱o,Sexo,Estatura
1896,M,172.7391304347826
1900,F,
1900,M,176.63793103448276
1904,F,
1904,M,175.7887323943662
1906,F,
1906,M,178.20622568093384
1908,F,
1908,M,177.54315789473685
1912,F,
1912,M,177.4479889042996
1920,F,161.8095238095238
1920,M,176.14477211796248
1924,F,162.38235294117646
1924,M,175.418085106383
1928,F,167.575
1928,M,175.84022346368715
1932,F,167.15315315315314
1932,M,174.93194192377496
1936,F,167.20560747663552
1936,M,176.56405529953918
1948,F,168.47222222222223
1948,M,177.25463414634146
1952,F,164.35764705882352
1952,M,176.49688031764038
1956,F,163.9623352165725
1956,M,176.34988399071926
1960,F,163.11490479317138
1960,M,175.40319952599614
1964,F,164.1443298969072
1964,M,175.5944055944056
1968,F,164.93511274735388
1968,M,176.3474794554152
1972,F,165.11655472145398
1972,M,177.18560315547276
1976,F,166.86905721192588
1976,M,177.7178051511758
1980,F,166.6759749638902
1980,M,178.45870535714286
1984,F,167.14201999310583
1984,M,178.55297317344542
1988,F,167.60508601346297
1988,M,179.1001849568434
1992,F,168.29733656174335
1992,M,179.74659639877032
1994,F,167.037109375
1994,M,179.4427911749615
1996,F,168.33792942276233
1996,M,180.13328964613368
1998,F,166.60532150776052
1998,M,179.5590405904059
2000,F,168.97290274684485
2000,M,180.704091456077
2002,F,166.64600638977635
2002,M,179.71570576540756
2004,F,168.97994942196533
2004,M,180.89124634735103
2006,F,166.83892999430847
2006,M,179.84536082474227
2008,F,169.5004332004852
2008,M,181.25364583333334
2010,F,167.29561451001624
2010,M,180.4328241284763
2012,F,169.73223284100783
2012,M,181.63355723881665
2014,F,167.11204759543878
2014,M,180.26173791170288
2016,F,169.44590643274853
2016,M,181.5478520935291
